filename,eva_num,computer,player,srand_num,win_lose
eva1hand_1hand_genetic,0,2,0,87,1
eva1hand_1hand_genetic,0,2,0,88,1
eva1hand_1hand_genetic,0,2,0,89,1
eva1hand_1hand_genetic,0,2,0,90,1
eva1hand_1hand_genetic,0,2,0,91,1
eva1hand_1hand_genetic,0,2,0,92,1
eva1hand_1hand_genetic,0,2,0,93,0
eva1hand_1hand_genetic,0,2,0,94,0
eva1hand_1hand_genetic,0,2,0,95,0
eva1hand_1hand_genetic,0,2,0,96,0
eva1hand_1hand_genetic,0,2,0,97,0
eva1hand_1hand_genetic,0,2,0,98,0
eva1hand_1hand_genetic,0,2,0,99,1
eva1hand_1hand_genetic,0,2,0,100,0
eva1hand_1hand_genetic,0,2,1,81,1
eva1hand_1hand_genetic,0,2,1,82,1
eva1hand_1hand_genetic,0,2,1,83,1
eva1hand_1hand_genetic,0,2,1,84,1
eva1hand_1hand_genetic,0,2,1,85,1
eva1hand_1hand_genetic,0,2,1,86,1
eva1hand_1hand_genetic,0,2,1,87,1
eva1hand_1hand_genetic,0,2,1,88,1
eva1hand_1hand_genetic,0,2,1,89,1
eva1hand_1hand_genetic,0,2,1,90,1
eva1hand_1hand_genetic,0,2,1,91,1
eva1hand_1hand_genetic,0,2,1,92,1
eva1hand_1hand_genetic,0,2,1,93,1
eva1hand_1hand_genetic,0,2,1,94,1
eva1hand_1hand_genetic,0,2,1,95,1
eva1hand_1hand_genetic,0,2,1,96,1
eva1hand_1hand_genetic,0,2,1,97,1
eva1hand_1hand_genetic,0,2,1,98,1
eva1hand_1hand_genetic,0,2,1,99,1
eva1hand_1hand_genetic,0,2,1,100,1
eva1hand_1hand_genetic,0,2,2,81,1
eva1hand_1hand_genetic,0,2,2,82,1
eva1hand_1hand_genetic,0,2,2,83,1
eva1hand_1hand_genetic,0,2,2,84,1
eva1hand_1hand_genetic,0,2,2,85,1
eva1hand_1hand_genetic,0,2,2,86,1
eva1hand_1hand_genetic,0,2,2,87,1
eva1hand_1hand_genetic,0,2,2,88,1
eva1hand_1hand_genetic,0,2,2,89,1
eva1hand_1hand_genetic,0,2,2,90,1
eva1hand_1hand_genetic,0,2,2,91,1
eva1hand_1hand_genetic,0,2,2,92,1
eva1hand_1hand_genetic,0,2,2,93,1
eva1hand_1hand_genetic,0,2,2,94,1
eva1hand_1hand_genetic,0,2,2,95,1
eva1hand_1hand_genetic,0,2,2,96,1
eva1hand_1hand_genetic,0,2,2,97,1
eva1hand_1hand_genetic,0,2,2,98,1
eva1hand_1hand_genetic,0,2,2,99,1
eva1hand_1hand_genetic,0,2,2,100,1
eva1hand_1hand_genetic,1,1,0,81,1
eva1hand_1hand_genetic,1,1,0,82,0
eva1hand_1hand_genetic,1,1,0,83,0
eva1hand_1hand_genetic,1,1,0,84,1
eva1hand_1hand_genetic,1,1,0,85,1
eva1hand_1hand_genetic,1,1,0,86,0
eva1hand_1hand_genetic,1,1,0,87,1
eva1hand_1hand_genetic,1,1,0,88,0
eva1hand_1hand_genetic,1,1,0,89,0
eva1hand_1hand_genetic,1,1,0,90,1
eva1hand_1hand_genetic,1,1,0,91,0
eva1hand_1hand_genetic,1,1,0,92,1
eva1hand_1hand_genetic,1,1,0,93,0
eva1hand_1hand_genetic,1,1,0,94,0
eva1hand_1hand_genetic,1,1,0,95,1
eva1hand_1hand_genetic,1,1,0,96,1
eva1hand_1hand_genetic,1,1,0,97,0
eva1hand_1hand_genetic,1,1,0,98,0
eva1hand_1hand_genetic,1,1,0,99,0
eva1hand_1hand_genetic,1,1,0,100,0
eva1hand_1hand_genetic,1,1,1,81,1
eva1hand_1hand_genetic,1,1,1,82,1
eva1hand_1hand_genetic,1,1,1,83,1
eva1hand_1hand_genetic,1,1,1,84,1
eva1hand_1hand_genetic,1,1,1,85,1
eva1hand_1hand_genetic,1,1,1,86,1
eva1hand_1hand_genetic,1,1,1,87,1
eva1hand_1hand_genetic,1,1,1,88,1
eva1hand_1hand_genetic,1,1,1,89,1
eva1hand_1hand_genetic,1,1,1,90,1
eva1hand_1hand_genetic,1,1,1,91,1
eva1hand_1hand_genetic,1,1,1,92,1
eva1hand_1hand_genetic,1,1,1,93,1
eva1hand_1hand_genetic,1,1,1,94,1
eva1hand_1hand_genetic,1,1,1,95,1
eva1hand_1hand_genetic,1,1,1,96,1
eva1hand_1hand_genetic,1,1,1,97,1
eva1hand_1hand_genetic,1,1,1,98,1
eva1hand_1hand_genetic,1,1,1,99,1
eva1hand_1hand_genetic,1,1,1,100,1
eva1hand_1hand_genetic,1,1,2,81,1
eva1hand_1hand_genetic,1,1,2,82,1
eva1hand_1hand_genetic,1,1,2,83,1
eva1hand_1hand_genetic,1,1,2,84,1
eva1hand_1hand_genetic,1,1,2,85,1
eva1hand_1hand_genetic,1,1,2,86,1
eva1hand_1hand_genetic,1,1,2,87,1
eva1hand_1hand_genetic,1,1,2,88,1
eva1hand_1hand_genetic,1,1,2,89,1
eva1hand_1hand_genetic,1,1,2,90,1
eva1hand_1hand_genetic,1,1,2,91,1
eva1hand_1hand_genetic,1,1,2,92,1
eva1hand_1hand_genetic,1,1,2,93,1
eva1hand_1hand_genetic,1,1,2,94,1
eva1hand_1hand_genetic,1,1,2,95,1
eva1hand_1hand_genetic,1,1,2,96,1
eva1hand_1hand_genetic,1,1,2,97,1
eva1hand_1hand_genetic,1,1,2,98,1
eva1hand_1hand_genetic,1,1,2,99,1
eva1hand_1hand_genetic,1,1,2,100,1
eva1hand_1hand_genetic,1,2,0,81,1
eva1hand_1hand_genetic,1,2,0,82,1
eva1hand_1hand_genetic,1,2,0,83,0
eva1hand_1hand_genetic,1,2,0,84,1
eva1hand_1hand_genetic,1,2,0,85,1
eva1hand_1hand_genetic,1,2,0,86,0
eva1hand_1hand_genetic,1,2,0,87,0
eva1hand_1hand_genetic,1,2,0,88,0
eva1hand_1hand_genetic,1,2,0,89,0
eva1hand_1hand_genetic,1,2,0,90,0
eva1hand_1hand_genetic,1,2,0,91,0
eva1hand_1hand_genetic,1,2,0,92,1
eva1hand_1hand_genetic,1,2,0,93,0
eva1hand_1hand_genetic,1,2,0,94,0
eva1hand_1hand_genetic,1,2,0,95,1
eva1hand_1hand_genetic,1,2,0,96,0
eva1hand_1hand_genetic,1,2,0,97,1
eva1hand_1hand_genetic,1,2,0,98,1
eva1hand_1hand_genetic,1,2,0,99,1
eva1hand_1hand_genetic,1,2,0,100,0
eva1hand_1hand_genetic,1,2,1,81,1
eva1hand_1hand_genetic,1,2,1,82,1
eva1hand_1hand_genetic,1,2,1,83,1
eva1hand_1hand_genetic,1,2,1,84,1
eva1hand_1hand_genetic,1,2,1,85,1
eva1hand_1hand_genetic,1,2,1,86,1
eva1hand_1hand_genetic,1,2,1,87,1
eva1hand_1hand_genetic,1,2,1,88,1
eva1hand_1hand_genetic,1,2,1,89,1
eva1hand_1hand_genetic,1,2,1,90,1
eva1hand_1hand_genetic,1,2,1,91,1
eva1hand_1hand_genetic,1,2,1,92,1
eva1hand_1hand_genetic,1,2,1,93,1
eva1hand_1hand_genetic,1,2,1,94,1
eva1hand_1hand_genetic,1,2,1,95,1
eva1hand_1hand_genetic,1,2,1,96,1
eva1hand_1hand_genetic,1,2,1,97,1
eva1hand_1hand_genetic,1,2,1,98,1
eva1hand_1hand_genetic,1,2,1,99,1
eva1hand_1hand_genetic,1,2,1,100,1
eva1hand_1hand_genetic,1,2,2,81,1
eva1hand_1hand_genetic,1,2,2,82,1
eva1hand_1hand_genetic,1,2,2,83,1
eva1hand_1hand_genetic,1,2,2,84,1
eva1hand_1hand_genetic,1,2,2,85,1
eva1hand_1hand_genetic,1,2,2,86,1
eva1hand_1hand_genetic,1,2,2,87,1
eva1hand_1hand_genetic,1,2,2,88,1
eva1hand_1hand_genetic,1,2,2,89,1
eva1hand_1hand_genetic,1,2,2,90,1
eva1hand_1hand_genetic,1,2,2,91,1
eva1hand_1hand_genetic,1,2,2,92,1
eva1hand_1hand_genetic,1,2,2,93,1
eva1hand_1hand_genetic,1,2,2,94,1
eva1hand_1hand_genetic,1,2,2,95,1
eva1hand_1hand_genetic,1,2,2,96,1
eva1hand_1hand_genetic,1,2,2,97,1
eva1hand_1hand_genetic,1,2,2,98,1
eva1hand_1hand_genetic,1,2,2,99,1
eva1hand_1hand_genetic,1,2,2,100,1
eva1hand_1hand_genetic,2,1,0,81,0
eva1hand_1hand_genetic,2,1,0,82,1
eva1hand_1hand_genetic,2,1,0,83,0
eva1hand_1hand_genetic,2,1,0,84,1
eva1hand_1hand_genetic,2,1,0,85,0
eva1hand_1hand_genetic,2,1,0,86,0
eva1hand_1hand_genetic,2,1,0,87,1
eva1hand_1hand_genetic,2,1,0,88,1
eva1hand_1hand_genetic,2,1,0,89,0
eva1hand_1hand_genetic,2,1,0,90,0
eva1hand_1hand_genetic,2,1,0,91,1
eva1hand_1hand_genetic,2,1,0,92,1
eva1hand_1hand_genetic,2,1,0,93,0
eva1hand_1hand_genetic,2,1,0,94,0
eva1hand_1hand_genetic,2,1,0,95,1
eva1hand_1hand_genetic,2,1,0,96,1
eva1hand_1hand_genetic,2,1,0,97,0
eva1hand_1hand_genetic,2,1,0,98,0
eva1hand_1hand_genetic,2,1,0,99,1
eva1hand_1hand_genetic,2,1,0,100,1
eva1hand_1hand_genetic,2,1,1,81,1
eva1hand_1hand_genetic,2,1,1,82,1
eva1hand_1hand_genetic,2,1,1,83,1
eva1hand_1hand_genetic,2,1,1,84,1
eva1hand_1hand_genetic,2,1,1,85,1
eva1hand_1hand_genetic,2,1,1,86,1
eva1hand_1hand_genetic,2,1,1,87,1
eva1hand_1hand_genetic,2,1,1,88,1
eva1hand_1hand_genetic,2,1,1,89,1
eva1hand_1hand_genetic,2,1,1,90,1
eva1hand_1hand_genetic,2,1,1,91,1
eva1hand_1hand_genetic,2,1,1,92,1
eva1hand_1hand_genetic,2,1,1,93,1
eva1hand_1hand_genetic,2,1,1,94,1
eva1hand_1hand_genetic,2,1,1,95,1
eva1hand_1hand_genetic,2,1,1,96,1
eva1hand_1hand_genetic,2,1,1,97,1
eva1hand_1hand_genetic,2,1,1,98,1
eva1hand_1hand_genetic,2,1,1,99,1
eva1hand_1hand_genetic,2,1,1,100,1
eva1hand_1hand_genetic,2,1,2,81,1
eva1hand_1hand_genetic,2,1,2,82,1
eva1hand_1hand_genetic,2,1,2,83,1
eva1hand_1hand_genetic,2,1,2,84,1
eva1hand_1hand_genetic,2,1,2,85,1
eva1hand_1hand_genetic,2,1,2,86,1
eva1hand_1hand_genetic,2,1,2,87,1
eva1hand_1hand_genetic,2,1,2,88,1
eva1hand_1hand_genetic,2,1,2,89,1
eva1hand_1hand_genetic,2,1,2,90,1
eva1hand_1hand_genetic,2,1,2,91,1
eva1hand_1hand_genetic,2,1,2,92,1
eva1hand_1hand_genetic,2,1,2,93,1
eva1hand_1hand_genetic,2,1,2,94,1
eva1hand_1hand_genetic,2,1,2,95,1
eva1hand_1hand_genetic,2,1,2,96,1
eva1hand_1hand_genetic,2,1,2,97,1
eva1hand_1hand_genetic,2,1,2,98,1
eva1hand_1hand_genetic,2,1,2,99,1
eva1hand_1hand_genetic,2,1,2,100,1
eva1hand_1hand_genetic,2,2,0,81,1
eva1hand_1hand_genetic,2,2,0,82,0
eva1hand_1hand_genetic,2,2,0,83,0
eva1hand_1hand_genetic,2,2,0,84,1
eva1hand_1hand_genetic,2,2,0,85,1
eva1hand_1hand_genetic,2,2,0,86,1
eva1hand_1hand_genetic,2,2,0,87,0
eva1hand_1hand_genetic,2,2,0,88,1
eva1hand_1hand_genetic,2,2,0,89,0
eva1hand_1hand_genetic,2,2,0,90,1
eva1hand_1hand_genetic,2,2,0,91,0
eva1hand_1hand_genetic,2,2,0,92,0
eva1hand_1hand_genetic,2,2,0,93,0
eva1hand_1hand_genetic,2,2,0,94,1
eva1hand_1hand_genetic,2,2,0,95,1
eva1hand_1hand_genetic,2,2,0,96,1
eva1hand_1hand_genetic,2,2,0,97,1
eva1hand_1hand_genetic,2,2,0,98,0
eva1hand_1hand_genetic,2,2,0,99,1
eva1hand_1hand_genetic,2,2,0,100,1
eva1hand_1hand_genetic,2,2,1,81,1
eva1hand_1hand_genetic,2,2,1,82,1
eva1hand_1hand_genetic,2,2,1,83,1
eva1hand_1hand_genetic,2,2,1,84,1
eva1hand_1hand_genetic,2,2,1,85,1
eva1hand_1hand_genetic,2,2,1,86,1
eva1hand_1hand_genetic,2,2,1,87,1
eva1hand_1hand_genetic,2,2,1,88,1
eva1hand_1hand_genetic,2,2,1,89,1
eva1hand_1hand_genetic,2,2,1,90,1
eva1hand_1hand_genetic,2,2,1,91,1
eva1hand_1hand_genetic,2,2,1,92,1
eva1hand_1hand_genetic,2,2,1,93,1
eva1hand_1hand_genetic,2,2,1,94,1
eva1hand_1hand_genetic,2,2,1,95,1
eva1hand_1hand_genetic,2,2,1,96,1
eva1hand_1hand_genetic,2,2,1,97,1
eva1hand_1hand_genetic,2,2,1,98,1
eva1hand_1hand_genetic,2,2,1,99,1
eva1hand_1hand_genetic,2,2,1,100,1
eva1hand_1hand_genetic,2,2,2,81,1
eva1hand_1hand_genetic,2,2,2,82,1
eva1hand_1hand_genetic,2,2,2,83,1
eva1hand_1hand_genetic,2,2,2,84,1
eva1hand_1hand_genetic,2,2,2,85,1
eva1hand_1hand_genetic,2,2,2,86,1
eva1hand_1hand_genetic,2,2,2,87,1
eva1hand_1hand_genetic,2,2,2,88,1
eva1hand_1hand_genetic,2,2,2,89,1
eva1hand_1hand_genetic,2,2,2,90,1
eva1hand_1hand_genetic,2,2,2,91,1
eva1hand_1hand_genetic,2,2,2,92,1
eva1hand_1hand_genetic,2,2,2,93,1
eva1hand_1hand_genetic,2,2,2,94,1
eva1hand_1hand_genetic,2,2,2,95,1
eva1hand_1hand_genetic,2,2,2,96,1
eva1hand_1hand_genetic,2,2,2,97,1
eva1hand_1hand_genetic,2,2,2,98,1
eva1hand_1hand_genetic,2,2,2,99,1
eva1hand_1hand_genetic,2,2,2,100,1
eva1hand_1hand_genetic,3,1,0,81,0
eva1hand_1hand_genetic,3,1,0,82,0
eva1hand_1hand_genetic,3,1,0,83,1
eva1hand_1hand_genetic,3,1,0,84,1
eva1hand_1hand_genetic,3,1,0,85,1
eva1hand_1hand_genetic,3,1,0,86,1
eva1hand_1hand_genetic,3,1,0,87,1
eva1hand_1hand_genetic,3,1,0,88,0
eva1hand_1hand_genetic,3,1,0,89,0
eva1hand_1hand_genetic,3,1,0,90,1
eva1hand_1hand_genetic,3,1,0,91,0
eva1hand_1hand_genetic,3,1,0,92,0
eva1hand_1hand_genetic,3,1,0,93,1
eva1hand_1hand_genetic,3,1,0,94,0
eva1hand_1hand_genetic,3,1,0,95,0
eva1hand_1hand_genetic,3,1,0,96,1
eva1hand_1hand_genetic,3,1,0,97,1
eva1hand_1hand_genetic,3,1,0,98,1
eva1hand_1hand_genetic,3,1,0,99,1
eva1hand_1hand_genetic,3,1,0,100,1
eva1hand_1hand_genetic,3,1,1,81,1
eva1hand_1hand_genetic,3,1,1,82,1
eva1hand_1hand_genetic,3,1,1,83,1
eva1hand_1hand_genetic,3,1,1,84,1
eva1hand_1hand_genetic,3,1,1,85,1
eva1hand_1hand_genetic,3,1,1,86,1
eva1hand_1hand_genetic,3,1,1,87,1
eva1hand_1hand_genetic,3,1,1,88,1
eva1hand_1hand_genetic,3,1,1,89,1
eva1hand_1hand_genetic,3,1,1,90,1
eva1hand_1hand_genetic,3,1,1,91,1
eva1hand_1hand_genetic,3,1,1,92,1
eva1hand_1hand_genetic,3,1,1,93,1
eva1hand_1hand_genetic,3,1,1,94,1
eva1hand_1hand_genetic,3,1,1,95,1
eva1hand_1hand_genetic,3,1,1,96,1
eva1hand_1hand_genetic,3,1,1,97,1
eva1hand_1hand_genetic,3,1,1,98,1
eva1hand_1hand_genetic,3,1,1,99,1
eva1hand_1hand_genetic,3,1,1,100,1
eva1hand_1hand_genetic,3,1,2,81,1
eva1hand_1hand_genetic,3,1,2,82,1
eva1hand_1hand_genetic,3,1,2,83,1
eva1hand_1hand_genetic,3,1,2,84,1
eva1hand_1hand_genetic,3,1,2,85,1
eva1hand_1hand_genetic,3,1,2,86,1
eva1hand_1hand_genetic,3,1,2,87,1
eva1hand_1hand_genetic,3,1,2,88,1
eva1hand_1hand_genetic,3,1,2,89,1
eva1hand_1hand_genetic,3,1,2,90,1
eva1hand_1hand_genetic,3,1,2,91,1
eva1hand_1hand_genetic,3,1,2,92,1
eva1hand_1hand_genetic,3,1,2,93,1
eva1hand_1hand_genetic,3,1,2,94,1
eva1hand_1hand_genetic,3,1,2,95,1
eva1hand_1hand_genetic,3,1,2,96,1
eva1hand_1hand_genetic,3,1,2,97,1
eva1hand_1hand_genetic,3,1,2,98,1
eva1hand_1hand_genetic,3,1,2,99,1
eva1hand_1hand_genetic,3,1,2,100,1
eva1hand_1hand_genetic,3,2,0,81,0
eva1hand_1hand_genetic,3,2,0,82,0
eva1hand_1hand_genetic,3,2,0,83,0
eva1hand_1hand_genetic,3,2,0,84,1
eva1hand_1hand_genetic,3,2,0,85,0
eva1hand_1hand_genetic,3,2,0,86,1
eva1hand_1hand_genetic,3,2,0,87,1
eva1hand_1hand_genetic,3,2,0,88,0
eva1hand_1hand_genetic,3,2,0,89,0
eva1hand_1hand_genetic,3,2,0,90,0
eva1hand_1hand_genetic,3,2,0,91,0
eva1hand_1hand_genetic,3,2,0,92,0
eva1hand_1hand_genetic,3,2,0,93,1
eva1hand_1hand_genetic,3,2,0,94,0
eva1hand_1hand_genetic,3,2,0,95,1
eva1hand_1hand_genetic,3,2,0,96,1
eva1hand_1hand_genetic,3,2,0,97,1
eva1hand_1hand_genetic,3,2,0,98,0
eva1hand_1hand_genetic,3,2,0,99,1
eva1hand_1hand_genetic,3,2,0,100,1
eva1hand_1hand_genetic,3,2,1,81,1
eva1hand_1hand_genetic,3,2,1,82,1
eva1hand_1hand_genetic,3,2,1,83,1
eva1hand_1hand_genetic,3,2,1,84,1
eva1hand_1hand_genetic,3,2,1,85,1
eva1hand_1hand_genetic,3,2,1,86,1
eva1hand_1hand_genetic,3,2,1,87,1
eva1hand_1hand_genetic,3,2,1,88,1
eva1hand_1hand_genetic,3,2,1,89,1
eva1hand_1hand_genetic,3,2,1,90,1
eva1hand_1hand_genetic,3,2,1,91,1
eva1hand_1hand_genetic,3,2,1,92,1
eva1hand_1hand_genetic,3,2,1,93,1
eva1hand_1hand_genetic,3,2,1,94,1
eva1hand_1hand_genetic,3,2,1,95,1
eva1hand_1hand_genetic,3,2,1,96,1
eva1hand_1hand_genetic,3,2,1,97,1
eva1hand_1hand_genetic,3,2,1,98,1
eva1hand_1hand_genetic,3,2,1,99,1
eva1hand_1hand_genetic,3,2,1,100,1
eva1hand_1hand_genetic,3,2,2,81,1
eva1hand_1hand_genetic,3,2,2,82,1
eva1hand_1hand_genetic,3,2,2,83,1
eva1hand_1hand_genetic,3,2,2,84,1
eva1hand_1hand_genetic,3,2,2,85,1
eva1hand_1hand_genetic,3,2,2,86,1
eva1hand_1hand_genetic,3,2,2,87,1
eva1hand_1hand_genetic,3,2,2,88,1
eva1hand_1hand_genetic,3,2,2,89,1
eva1hand_1hand_genetic,3,2,2,90,1
eva1hand_1hand_genetic,3,2,2,91,1
eva1hand_1hand_genetic,3,2,2,92,1
eva1hand_1hand_genetic,3,2,2,93,1
eva1hand_1hand_genetic,3,2,2,94,1
eva1hand_1hand_genetic,3,2,2,95,1
eva1hand_1hand_genetic,3,2,2,96,1
eva1hand_1hand_genetic,3,2,2,97,1
eva1hand_1hand_genetic,3,2,2,98,1
eva1hand_1hand_genetic,3,2,2,99,1
eva1hand_1hand_genetic,3,2,2,100,1
eva1hand_1hand_genetic,4,1,0,81,0
eva1hand_1hand_genetic,4,1,0,82,0
eva1hand_1hand_genetic,4,1,0,83,0
eva1hand_1hand_genetic,4,1,0,84,1
eva1hand_1hand_genetic,4,1,0,85,1
eva1hand_1hand_genetic,4,1,0,86,0
eva1hand_1hand_genetic,4,1,0,87,0
eva1hand_1hand_genetic,4,1,0,88,1
eva1hand_1hand_genetic,4,1,0,89,1
eva1hand_1hand_genetic,4,1,0,90,1
eva1hand_1hand_genetic,4,1,0,91,1
eva1hand_1hand_genetic,4,1,0,92,1
eva1hand_1hand_genetic,4,1,0,93,0
eva1hand_1hand_genetic,4,1,0,94,0
eva1hand_1hand_genetic,4,1,0,95,0
eva1hand_1hand_genetic,4,1,0,96,0
eva1hand_1hand_genetic,4,1,0,97,1
eva1hand_1hand_genetic,4,1,0,98,1
eva1hand_1hand_genetic,4,1,0,99,1
eva1hand_1hand_genetic,4,1,0,100,0
eva1hand_1hand_genetic,4,1,1,81,1
eva1hand_1hand_genetic,4,1,1,82,1
eva1hand_1hand_genetic,4,1,1,83,1
eva1hand_1hand_genetic,4,1,1,84,1
eva1hand_1hand_genetic,4,1,1,85,1
eva1hand_1hand_genetic,4,1,1,86,1
eva1hand_1hand_genetic,4,1,1,87,1
eva1hand_1hand_genetic,4,1,1,88,1
eva1hand_1hand_genetic,4,1,1,89,1
eva1hand_1hand_genetic,4,1,1,90,1
eva1hand_1hand_genetic,4,1,1,91,1
eva1hand_1hand_genetic,4,1,1,92,1
eva1hand_1hand_genetic,4,1,1,93,1
eva1hand_1hand_genetic,4,1,1,94,1
eva1hand_1hand_genetic,4,1,1,95,1
eva1hand_1hand_genetic,4,1,1,96,1
eva1hand_1hand_genetic,4,1,1,97,1
eva1hand_1hand_genetic,4,1,1,98,1
eva1hand_1hand_genetic,4,1,1,99,1
eva1hand_1hand_genetic,4,1,1,100,1
eva1hand_1hand_genetic,4,1,2,81,1
eva1hand_1hand_genetic,4,1,2,82,1
eva1hand_1hand_genetic,4,1,2,83,1
eva1hand_1hand_genetic,4,1,2,84,1
eva1hand_1hand_genetic,4,1,2,85,1
eva1hand_1hand_genetic,4,1,2,86,1
eva1hand_1hand_genetic,4,1,2,87,1
eva1hand_1hand_genetic,4,1,2,88,1
eva1hand_1hand_genetic,4,1,2,89,1
eva1hand_1hand_genetic,4,1,2,90,1
eva1hand_1hand_genetic,4,1,2,91,1
eva1hand_1hand_genetic,4,1,2,92,1
eva1hand_1hand_genetic,4,1,2,93,1
eva1hand_1hand_genetic,4,1,2,94,1
eva1hand_1hand_genetic,4,1,2,95,1
eva1hand_1hand_genetic,4,1,2,96,1
eva1hand_1hand_genetic,4,1,2,97,1
eva1hand_1hand_genetic,4,1,2,98,1
eva1hand_1hand_genetic,4,1,2,99,1
eva1hand_1hand_genetic,4,1,2,100,1
eva1hand_1hand_genetic,4,2,0,81,0
eva1hand_1hand_genetic,4,2,0,82,1
eva1hand_1hand_genetic,4,2,0,83,0
eva1hand_1hand_genetic,4,2,0,84,1
eva1hand_1hand_genetic,4,2,0,85,1
eva1hand_1hand_genetic,4,2,0,86,0
eva1hand_1hand_genetic,4,2,0,87,1
eva1hand_1hand_genetic,4,2,0,88,0
eva1hand_1hand_genetic,4,2,0,89,1
eva1hand_1hand_genetic,4,2,0,90,0
eva1hand_1hand_genetic,4,2,0,91,1
eva1hand_1hand_genetic,4,2,0,92,1
eva1hand_1hand_genetic,4,2,0,93,1
eva1hand_1hand_genetic,4,2,0,94,0
eva1hand_1hand_genetic,4,2,0,95,0
eva1hand_1hand_genetic,4,2,0,96,1
eva1hand_1hand_genetic,4,2,0,97,0
eva1hand_1hand_genetic,4,2,0,98,0
eva1hand_1hand_genetic,4,2,0,99,0
eva1hand_1hand_genetic,4,2,0,100,1
eva1hand_1hand_genetic,4,2,1,81,1
eva1hand_1hand_genetic,4,2,1,82,1
eva1hand_1hand_genetic,4,2,1,83,1
eva1hand_1hand_genetic,4,2,1,84,1
eva1hand_1hand_genetic,4,2,1,85,1
eva1hand_1hand_genetic,4,2,1,86,1
eva1hand_1hand_genetic,4,2,1,87,1
eva1hand_1hand_genetic,4,2,1,88,1
eva1hand_1hand_genetic,4,2,1,89,1
eva1hand_1hand_genetic,4,2,1,90,1
eva1hand_1hand_genetic,4,2,1,91,1
eva1hand_1hand_genetic,4,2,1,92,1
eva1hand_1hand_genetic,4,2,1,93,1
eva1hand_1hand_genetic,4,2,1,94,1
eva1hand_1hand_genetic,4,2,1,95,1
eva1hand_1hand_genetic,4,2,1,96,1
eva1hand_1hand_genetic,4,2,1,97,1
eva1hand_1hand_genetic,4,2,1,98,1
eva1hand_1hand_genetic,4,2,1,99,1
eva1hand_1hand_genetic,4,2,1,100,1
eva1hand_1hand_genetic,4,2,2,81,1
